Filtering the log data using "subsystem == "com.spatial.app.driver.speaker""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:06.565 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18368 clientID=413 bundleID=com.spatial.app clientReadCount=413 inputOnly=true stream=input frames=512 peak=0.156114 sample0=-0.080856 sample1=0.004510 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.156114 writeMixSeq=14729
2026-05-09 22:13:06.659 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=14784 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.068264
2026-05-09 22:13:06.735 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18384 clientID=413 bundleID=com.spatial.app clientReadCount=429 inputOnly=true stream=input frames=512 peak=0.267988 sample0=0.160630 sample1=0.219581 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.267988 writeMixSeq=14745
2026-05-09 22:13:06.906 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18400 clientID=413 bundleID=com.spatial.app clientReadCount=445 inputOnly=true stream=input frames=512 peak=0.193714 sample0=0.089199 sample1=0.109283 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.193714 writeMixSeq=14761
2026-05-09 22:13:07.077 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18416 clientID=413 bundleID=com.spatial.app clientReadCount=461 inputOnly=true stream=input frames=512 peak=0.137929 sample0=-0.082350 sample1=-0.015917 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.137929 writeMixSeq=14777
2026-05-09 22:13:07.247 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18432 clientID=413 bundleID=com.spatial.app clientReadCount=477 inputOnly=true stream=input frames=512 peak=0.385141 sample0=-0.003207 sample1=0.102867 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.385141 writeMixSeq=14793
2026-05-09 22:13:07.418 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18448 clientID=413 bundleID=com.spatial.app clientReadCount=493 inputOnly=true stream=input frames=512 peak=0.267722 sample0=0.066411 sample1=0.032000 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.267722 writeMixSeq=14809
2026-05-09 22:13:07.589 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18464 clientID=413 bundleID=com.spatial.app clientReadCount=509 inputOnly=true stream=input frames=512 peak=0.180094 sample0=-0.102471 sample1=-0.097987 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.180094 writeMixSeq=14825
2026-05-09 22:13:07.684 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=14880 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.331888
2026-05-09 22:13:07.759 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18480 clientID=413 bundleID=com.spatial.app clientReadCount=525 inputOnly=true stream=input frames=512 peak=0.143906 sample0=-0.003537 sample1=-0.030652 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.143906 writeMixSeq=14841
2026-05-09 22:13:07.930 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18496 clientID=413 bundleID=com.spatial.app clientReadCount=541 inputOnly=true stream=input frames=512 peak=0.209531 sample0=-0.114747 sample1=-0.114478 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.209531 writeMixSeq=14857
2026-05-09 22:13:08.101 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18512 clientID=413 bundleID=com.spatial.app clientReadCount=557 inputOnly=true stream=input frames=512 peak=0.488682 sample0=-0.346173 sample1=-0.255427 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.488682 writeMixSeq=14873
2026-05-09 22:13:08.271 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18528 clientID=413 bundleID=com.spatial.app clientReadCount=573 inputOnly=true stream=input frames=512 peak=0.146449 sample0=0.143680 sample1=0.019130 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.146449 writeMixSeq=14889
2026-05-09 22:13:08.442 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18544 clientID=413 bundleID=com.spatial.app clientReadCount=589 inputOnly=true stream=input frames=512 peak=0.242504 sample0=0.033817 sample1=0.085204 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.242504 writeMixSeq=14905
