Filtering the log data using "process == "coreaudiod" OR subsystem == "com.apple.audio.AUHAL" OR subsystem == "com.apple.coreaudio" OR subsystem BEGINSWITH "com.apple.audio""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:04.286 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1006]
2026-05-09 22:13:04.286 Db corespeechd[598:68082] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1005, cmd 0x7104f93b8, data 0x108398870: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.286 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12345.870612, 8428165 st, 1.000000 rs
2026-05-09 22:13:04.286 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.286 Db corespeechd[598:681ad] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1006, cmd 0x7104f8e78, data 0x1083990b0: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.286 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.317 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.328 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.339 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.349 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]        AudioQueueObject.h:1269  AQFetch: Input ring buffer returning 0x400 frames, t: 0x809b00 - 0x809f00
